gene,center,k,d10,d50,d90,mean_absdiff,std_absdiff,n_rows,n_pairs_sampled
ENSG00000069998,0.6334958672523499,3.4684118569963234,0.0,0.10411065816879272,1.2669917345046997,0.2713044180748984,0.4474383750206085,2000,200000
ENSG00000131100,0.22936826199293137,9.579462120194872,0.0,0.12056854367256165,0.45873652398586273,0.1648367928718333,0.17565480736663433,2000,200000
ENSG00000243156,0.3209565579891205,7.1596087767983585,0.01406484842300415,0.2009066492319107,0.6278482675552368,0.2604416401732713,0.2422682428963904,2000,200000
ENSG00000099940,0.3861280083656311,5.6904045542731785,0.0,0.0,0.7722560167312622,0.11374679996538907,0.27518990326640097,2000,200000
ENSG00000093010,0.0791223868727684,27.769948104187428,0.0,0.0,0.1582447737455368,0.07893249314427375,0.07912215899996608,2000,200000
ENSG00000099956,0.2520346939563751,8.717944910062812,0.0,0.1450035572052002,0.5040693879127502,0.20388405270861462,0.21313515677189396,2000,200000
ENSG00000244752,0.0,1.0,0.0,0.0,0.0,0.0029577228755503894,0.015854982471245324,2000,200000
ENSG00000184117,0.2464192882180214,9.725734412028237,0.020500659942626953,0.2062462568283081,0.47233791649341583,0.2200878033772856,0.16806997108237223,2000,200000
ENSG00000167065,0.20360092073678973,10.861214619316089,0.0013008415699005127,0.17197665572166443,0.4059009999036789,0.19296189066722902,0.15515025746098918,2000,200000
ENSG00000198832,0.14454811811447144,15.200644643441013,0.0,0.1375853642821312,0.28909623622894287,0.1442442075731713,0.11413014929988716,2000,200000
ENSG00000128245,0.08525492995977402,25.772404931573334,0.0,0.07585593312978745,0.17050985991954803,0.08345339647109634,0.0662797670980772,2000,200000
ENSG00000100336,0.3495490700006485,6.8655168364615315,0.02951131761074066,0.3023972064256668,0.6695868223905563,0.3373795189603529,0.24789707827168325,2000,200000
ENSG00000133466,0.44286882132291794,5.680082466969576,0.056039124727249146,0.3545643612742424,0.8296985179185867,0.40690510801929136,0.29336037579924745,2000,200000
ENSG00000100116,0.27485062927007675,8.175934550598331,0.006107702851295471,0.18036410538479686,0.543593555688858,0.23366240515480866,0.19283382043018607,2000,200000
ENSG00000100368,0.17619111016392708,12.532646610233925,0.0008710324764251709,0.08082365989685059,0.351511187851429,0.1338676555459085,0.12966510980857557,2000,200000
ENSG00000243811,0.19824612569063904,12.593811517191247,0.023777532577514655,0.16465643793344498,0.3727147188037634,0.1806920971941948,0.13022305343113008,2000,200000
ENSG00000100321,0.4446830525994301,4.941102577424906,0.0,0.17498923069797456,0.8893661051988602,0.3976292505893245,0.37580392686332975,2000,200000
ENSG00000100147,0.15020695701241493,14.627981426683277,0.0,0.11853785812854767,0.30041391402482986,0.1521470546511747,0.1221573968709704,2000,200000
ENSG00000159958,0.2899433858692646,7.578115881998244,0.0,0.0,0.5798867717385292,0.19737848491404206,0.263352367673673,2000,200000
ENSG00000167074,0.38411181990522886,5.72027327323157,0.0,0.22324122139252722,0.7682236398104578,0.2916198402790306,0.27879378266776234,2000,200000
ENSG00000183066,0.24977623019367456,9.745847568651559,0.024323845282197,0.17457942990586162,0.47522861510515213,0.216879267476175,0.16921813923959536,2000,200000
ENSG00000184983,0.0209945160895586,104.65707177832907,0.0,0.0,0.0419890321791172,0.017348427940195543,0.019800265518969885,2000,200000
ENSG00000167077,0.07469787448644638,29.414820601554016,0.0,0.0497279018163681,0.14939574897289276,0.06338213780625566,0.06441709412312781,2000,200000
ENSG00000198951,0.11852197162806986,18.538542239503588,0.0,0.06630298495292664,0.23704394325613976,0.10249547125180834,0.08608041820232772,2000,200000
ENSG00000183172,0.4651801697909832,4.723384013388803,0.0,0.33893638849258423,0.9303603395819664,0.41791279084937766,0.3539963872298388,2000,200000
ENSG00000100197,0.03713648859411478,59.1661910028948,0.0,0.022603364661335945,0.07427297718822956,0.03546217496652156,0.031031239204757224,2000,200000
ENSG00000230107,0.29208531975746155,7.522543684019194,0.0,0.23749306797981262,0.5841706395149231,0.2580620088008512,0.22018087720130247,2000,200000
ENSG00000100417,0.12395358458161355,17.726188272429685,0.0,0.0,0.24790716916322708,0.06349905690507585,0.0955624393534139,2000,200000
ENSG00000100243,0.1132550509646535,19.400676249061643,0.0,0.05428355932235718,0.22651010192930698,0.08328143795470559,0.09271270987454387,2000,200000
ENSG00000189306,0.42860546708106995,5.12645018809482,0.0,0.19936060905456543,0.8572109341621399,0.2905874214602285,0.3197639528145211,2000,200000
ENSG00000100304,0.15696237236261368,16.20852212452101,0.02140253782272339,0.11709998548030853,0.29252220690250397,0.1393863429194683,0.10761294653398346,2000,200000
ENSG00000100290,0.38855939800851047,5.722760465225859,0.004614518489688635,0.1823512315750122,0.7725042775273323,0.3155420424706442,0.29871159898423255,2000,200000
ENSG00000100300,0.2744440697133541,9.493384583685623,0.04299610108137131,0.20885467529296875,0.5058920383453369,0.24443921221299214,0.1814609026965311,2000,200000
ENSG00000100266,0.14623309671878815,15.025494410212527,0.0,0.1156393252313137,0.2924661934375763,0.1320895859439182,0.09940475714572893,2000,200000
ENSG00000226328,0.23516234643757344,10.061094272482674,0.016774115711450602,0.13702744245529175,0.4535505771636963,0.18653466549797915,0.16432200828399818,2000,200000
ENSG00000100376,0.8770168514922262,2.587622276335118,0.027888059616088867,0.20974421501159668,1.7261456433683635,0.5110397624661773,0.6275561731407165,2000,200000
ENSG00000077935,0.2320645973086357,9.46815930916859,0.0,0.2075069397687912,0.4641291946172714,0.216805658867741,0.17855098473260042,2000,200000
ENSG00000128408,0.49322013556957245,4.454855791316906,0.0,0.4015099108219147,0.9864402711391449,0.47155402849026185,0.38438103661335826,2000,200000
ENSG00000130943,0.5609366297721863,3.9170638191850298,0.0,0.11530938744544983,1.1218732595443726,0.3919373320249212,0.45938932938283594,2000,200000
ENSG00000075234,0.35037220269441605,6.2711155749206835,0.0,0.0,0.7007444053888321,0.1618618696300313,0.32508348793274255,2000,200000
ENSG00000188511,0.2988511025905609,7.69032418073193,0.013138234615325928,0.23467737436294556,0.5845639705657959,0.2709339662414044,0.20982950237876014,2000,200000
ENSG00000170638,0.20769570395350456,10.579056453801746,0.0,0.12795722484588623,0.4153914079070091,0.1798762678279262,0.15599911992145643,2000,200000
